rank,id,name,category,tier,source_surface,requires_gpu,competitor_validation_0_100,estimated_customer_benefit_pct,business_value_0_100,weighted_score_0_100,top_80,uncertainty,capability_family,competitor_evidence_band,score_rationale
1,protect-camera-offline-watch,Protect Camera Offline Watch,Security & Access,pro,protect,False,90,78,88,85.0,yes,Low,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=78% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
2,after-hours-activity,After-Hours Activity,Security & Access,starter,vision,True,94,68,91,83.7,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=68% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
3,rtsp-connectivity-probe,RTSP Connectivity Probe,Security & Access,pro,protect,True,90,76,84,82.7,yes,Low,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=76% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
4,camera-tamper,Camera View Change Alert,Property & Liability,starter,vision,True,90,72,85,81.7,yes,Low,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=72% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
5,loitering-watch,Loitering Watch,Security & Access,starter,vision,True,94,62,88,80.4,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=62% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
6,event-pre-post-roll-clip-export,Event Pre/Post-Roll Clip Export,Security & Access,enterprise,protect,False,90,62,88,79.4,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=62% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
7,fire-exit-blocked,Egress-Zone Object Review,Property & Liability,starter,vision,True,92,52,92,78.0,yes,Low,object_left_blocked,direct,"object left blocked; competitor evidence=direct; estimated reach=52% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
8,smart-event-clip-export,Smart-Detect Event Clip Export,Security & Access,enterprise,protect,False,90,58,86,77.2,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=58% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
9,rtsp-freeze-watch,RTSP Freeze Watch,Security & Access,pro,protect,True,90,62,82,77.0,yes,Low,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=62% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
10,mandated-camera-check,Camera View Baseline Check,Compliance,pro,vision,True,90,58,82,75.6,yes,High,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=58% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
11,tailgating-correlation,Credential-to-Crossing Correlation,Security & Access,pro,vision,True,92,42,94,75.3,yes,Low,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
12,multi-camera-incident-clip-bundle,Multi-Camera Clip Bundle,Security & Access,enterprise,protect,False,90,48,90,75.3,yes,High,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=48% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
13,manual-bounded-clip-export,Manual Bounded Clip Export,Security & Access,enterprise,protect,False,90,55,83,74.95,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=55% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
14,denied-access-escalation,Denied-Access Escalation,Security & Access,starter,vision,True,92,45,90,74.75,yes,Low,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=45% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
15,verified-door-timeline,Verified Door Incident Timeline,Security & Access,pro,vision,True,92,45,90,74.75,yes,Low,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=45% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
16,site-theft-watch,After-Hours Equipment-Zone Presence,Security & Access,starter,vision,True,94,43,90,74.55,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=43% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
17,door-alarm-verification,Forced/Held-Open Video Verification,Security & Access,starter,vision,True,92,40,93,74.2,yes,Low,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=40% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
18,slip-fall,Possible Fall Review,Property & Liability,pro,vision,True,90,38,94,73.4,yes,Low,fall_safety,direct,"fall safety; competitor evidence=direct; estimated reach=38% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
19,crowd-density,Crowd Density Alert,People & Safety,pro,vision,True,94,42,88,73.4,yes,Low,occupancy_counting,direct,"occupancy counting; competitor evidence=direct; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
20,clip-export-integrity-probe,Clip Export Integrity Probe,Compliance,enterprise,protect,False,90,45,87,73.05,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=45% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
21,rtsp-black-frame-rate,RTSP Black Frame Rate,Property & Liability,pro,protect,True,90,55,78,72.95,yes,Low,camera_image_health,direct,"camera image health; competitor evidence=direct; estimated reach=55% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
22,abandoned-object,Persistent Object Review,People & Safety,enterprise,vision,True,92,46,84,72.7,yes,Low,object_left_blocked,direct,"object left blocked; competitor evidence=direct; estimated reach=46% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
23,clip-export-checksum-manifest,Clip Export Checksum Manifest,Compliance,enterprise,protect,False,90,45,86,72.65,yes,Low,evidence_management,direct,"evidence management; competitor evidence=direct; estimated reach=45% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
24,hallway-overnight,Hallway Overnight Presence,Security & Access,starter,vision,True,94,42,85,72.2,yes,Low,loitering_intrusion,direct,"loitering intrusion; competitor evidence=direct; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
25,access-incident-index,Access Incident Search Index,Security & Access,enterprise,vision,True,92,42,86,72.1,yes,Low,access_video_correlation,direct,"access video correlation; competitor evidence=direct; estimated reach=42% of the assumed Nexus customer mix; business value reflects outcome severity, economic exposure, response urgency, and buyer willingness-to-pay."
